iter	Passed	Remaining
0	0	59
1	0	48
2	1	45
3	1	41
4	2	39
5	3	62
6	4	58
7	4	56
8	5	56
9	6	56
10	6	55
11	7	53
12	8	54
13	8	53
14	9	52
15	9	51
16	10	51
17	10	49
18	11	48
19	11	47
20	12	46
21	12	45
22	21	70
23	21	68
24	22	66
25	22	64
26	24	65
27	24	63
28	25	62
29	25	60
30	27	60
31	27	58
32	28	57
33	28	55
34	29	54
35	30	53
36	30	52
37	31	50
38	31	49
39	32	48
40	32	47
41	32	45
42	33	44
43	33	43
44	35	43
45	36	42
46	36	41
47	37	40
48	37	39
49	38	38
50	39	38
51	40	37
52	40	36
53	41	35
54	41	33
55	41	32
56	42	32
57	42	31
58	43	30
59	44	29
60	44	28
61	45	27
62	45	26
63	45	25
64	46	25
65	47	24
66	47	23
67	48	22
68	48	21
69	49	21
70	49	20
71	50	19
72	50	18
73	51	17
74	51	17
75	51	16
76	52	15
77	52	14
78	53	14
79	53	13
80	54	12
81	54	12
82	55	11
83	56	10
84	56	9
85	56	9
86	57	8
87	57	7
88	58	7
89	58	6
90	59	5
91	59	5
92	60	4
93	61	3
94	61	3
95	62	2
96	62	1
97	63	1
98	63	0
99	64	0
